日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2018-10-12,24,15,多云,西南风,1级,19.5,9
2018-10-15,21,17,小雨,西北风,2级,19.0,4
2018-09-06,35,24,多云,西南风,微风,29.5,11
2018-09-14,32,23,多云,南风,1级,27.5,9
2016-06-01,30,23,小雨,南风,小于3级,26.5,7
2016-06-02,30,23,小雨,南风,小于3级,26.5,7
2016-06-03,30,23,小雨,南风,小于3级,26.5,7
2016-06-04,23,33,多云, 东风 2级, 东风 2级,28.0,10
2016-06-05,23,33,多云, 东风 2级, 东风 2级,28.0,10
2016-06-06,23,33,多云, 东风 2级, 东风 2级,28.0,10
2016-06-07,24,34,多云, 北风 1级, 北风 1级,29.0,10
2016-06-08,23,31,阵雨, 西北风 2级, 西北风 2级,27.0,8
2016-06-09,24,31,阵雨, 东北风 2级, 东北风 2级,27.5,7
2016-06-10,24,31,阵雨, 东北风 2级, 东北风 2级,27.5,7
2016-06-11,24,29,中雨~大到暴雨, 西北风 4级, 西北风 4级,26.5,5
2016-06-12,24,29,中雨~大到暴雨, 西北风 4级, 西北风 4级,26.5,5
2016-06-13,24,29,中雨~大到暴雨, 西北风 4级, 西北风 4级,26.5,5
2016-06-14,24,29,中雨~大到暴雨, 西北风 4级, 西北风 4级,26.5,5
2016-06-15,26,18,阵雨~多云,南风,小于3级,22.0,8
2016-06-16,26,18,阵雨~多云,南风,小于3级,22.0,8
2016-06-17,25,33,阵雨~多云, 南风 2级, 南风 2级,29.0,8
2016-06-18,25,33,阵雨~多云, 南风 2级, 南风 2级,29.0,8
2016-06-19,25,34,多云, 西风 2级, 西风 2级,29.5,9
2016-06-20,26,35,多云, 西南风 1级, 西南风 1级,30.5,9
2016-06-21,26,35,多云, 西南风 1级, 西南风 1级,30.5,9
2015-12-01,11,16,小雨,北风 微风 ,北风 微风 ,13.5,5
2015-12-02,10,13,阴~小雨,北风 微风 ,北风 微风 ,11.5,3
2015-12-03,10,13,阴~小雨,北风 微风 ,北风 微风 ,11.5,3
2015-12-04,7,11,大到暴雨~小雨,北风 微风 ,北风 微风 ,9.0,4
2015-12-05,7,11,大到暴雨~小雨,北风 微风 ,北风 微风 ,9.0,4
2015-12-06,6,12,晴~多云,北风 微风 ,北风 微风 ,9.0,6
2015-12-07,6,12,晴~多云,北风 微风 ,北风 微风 ,9.0,6
2015-12-08,7,10,多云~小雨,北风 微风 ,北风 微风 ,8.5,3
2015-12-09,9,15,阴,北风 微风 ,北风 微风 ,12.0,6
2015-12-10,9,15,阴,北风 微风 ,北风 微风 ,12.0,6
2015-12-11,9,15,阴,北风 微风 ,北风 微风 ,12.0,6
2015-12-12,8,12,小雨,北风 微风 ,北风 微风 ,10.0,4
2015-12-13,9,12,中雨,北风 微风 ,北风 微风 ,10.5,3
2015-12-14,6,11,多云,北风 微风 ,北风 微风 ,8.5,5
2015-12-15,6,11,多云,北风 微风 ,北风 微风 ,8.5,5
2015-12-16,5,14,多云~晴,北风 微风 ,北风 微风 ,9.5,9
2015-12-17,5,14,多云~晴,北风 微风 ,北风 微风 ,9.5,9
2015-12-18,14,9,多云~阴,南风,小于3级,11.5,5
2015-12-19,14,9,多云~阴,南风,小于3级,11.5,5
2015-12-20,14,9,多云~阴,南风,小于3级,11.5,5
2015-12-21,15,12,小雨~中雨,南风,小于3级,13.5,3
2015-12-22,13,17,大雨~大到暴雨,北风 微风 ,北风 微风 ,15.0,4
2015-12-23,7,14,阴~小雨,北风 微风 ,北风 微风 ,10.5,7
2015-12-24,7,14,阴~小雨,北风 微风 ,北风 微风 ,10.5,7
