日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,16,多云,西南风,3级,21.5,11
2019-09-02,28,18,多云,西南风,2级,23.0,10
2019-09-03,28,18,晴,南风,微风,23.0,10
2019-09-04,30,18,晴,南风,微风,24.0,12
2019-09-05,27,19,阴,东南风,2级,23.0,8
2019-09-06,27,19,阴,西南风,1级,23.0,8
2019-09-07,24,19,阴,东北风,4级,21.5,5
2019-09-08,27,13,阴,西南风,2级,20.0,14
2019-09-09,23,11,多云,西南风,1级,17.0,12
2019-09-10,20,9,阴,东北风,2级,14.5,11
2019-09-11,22,10,晴,北风,微风,16.0,12
2019-09-12,22,16,多云,东南风,2级,19.0,6
2019-09-13,19,11,阴,西北风,2级,15.0,8
2019-09-14,23,11,晴,北风,微风,17.0,12
2019-09-15,24,9,多云,东南风,2级,16.5,15
2019-09-16,17,6,晴,北风,微风,11.5,11
2019-09-17,23,5,晴,西北风,4级,14.0,18
2019-09-18,16,3,晴,西南风,1级,9.5,13
2019-09-19,19,8,晴,东南风,2级,13.5,11
2019-09-20,20,8,多云,西北风,3级,14.0,12
2019-09-21,21,6,晴,东北风,2级,13.5,15
2019-09-22,22,8,晴,东北风,1级,15.0,14
2019-09-23,24,10,晴,东南风,2级,17.0,14
2019-09-24,21,10,晴,北风,微风,15.5,11
2019-09-25,26,14,晴,西南风,3级,20.0,12
2019-09-26,27,15,晴,西南风,2级,21.0,12
2019-09-27,27,16,阴,西南风,3级,21.5,11
2019-09-28,25,13,晴,西南风,2级,19.0,12
2019-09-29,22,12,晴,北风,微风,17.0,10
2019-09-30,27,18,晴,西南风,3级,22.5,9
2019-08-01,29,20,多云,西北风,3级,24.5,9
2019-08-02,29,21,阴,东南风,1级,25.0,8
2019-08-03,23,20,中雨,东北风,2级,21.5,3
2019-08-04,28,20,多云,东南风,2级,24.0,8
2019-08-05,29,22,阴,东南风,1级,25.5,7
2019-08-06,29,22,阴,东南风,1级,25.5,7
2019-08-07,28,21,小雨,北风,微风,24.5,7
2019-08-08,25,19,小雨,西南风,2级,22.0,6
2019-08-09,26,19,小雨,东北风,2级,22.5,7
2019-08-10,28,22,多云,西北风,1级,25.0,6
2019-08-11,22,20,小雨,东南风,1级,21.0,2
2019-08-12,25,19,阴,东北风,3级,22.0,6
2019-08-13,28,21,阴,东北风,2级,24.5,7
2019-08-14,23,20,中雨,西北风,2级,21.5,3
2019-08-15,25,19,阴,东北风,2级,22.0,6
2019-08-16,22,18,小雨,西北风,2级,20.0,4
2019-08-17,19,16,中雨,西南风,2级,17.5,3
2019-08-18,25,17,小雨,东南风,2级,21.0,8
2019-08-19,26,15,多云,东北风,2级,20.5,11
2019-08-20,25,19,阴,东南风,3级,22.0,6
2019-08-21,24,16,小雨,西南风,3级,20.0,8
2019-08-22,22,16,阴,西南风,2级,19.0,6
2019-08-23,23,14,小雨,西北风,1级,18.5,9
2019-08-24,25,14,多云,东南风,1级,19.5,11
2019-08-25,25,17,阴,西南风,微风,21.0,8
2019-08-26,24,18,阴,东南风,3级,21.0,6
2019-08-27,25,15,阴,东南风,1级,20.0,10
2019-08-28,24,15,多云,东南风,1级,19.5,9
2019-08-29,21,15,小雨,西北风,2级,18.0,6
2019-08-30,22,14,阴,西南风,1级,18.0,8
