日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,14,多云,东南风,1级,20.5,13
2019-09-02,28,16,晴,东南风,3级,22.0,12
2019-09-03,28,15,晴,西南风,3级,21.5,13
2019-09-04,28,16,多云,西南风,2级,22.0,12
2019-09-05,28,17,多云,东南风,3级,22.5,11
2019-09-06,31,18,晴,东南风,3级,24.5,13
2019-09-07,32,19,阴,东北风,4级,25.5,13
2019-09-08,28,18,多云,东北风,3级,23.0,10
2019-09-09,18,15,阴,西南风,1级,16.5,3
2019-09-10,23,16,雾,东北风,3级,19.5,7
2019-09-11,27,19,阴,东南风,3级,23.0,8
2019-09-12,19,9,阴,西南风,3级,14.0,10
2019-09-13,19,10,阴,东南风,2级,14.5,9
2019-09-14,22,12,多云,东南风,2级,17.0,10
2019-09-15,25,13,阴,北风,微风,19.0,12
2019-09-16,25,12,阴,东南风,2级,18.5,13
2019-09-17,26,13,阴,东南风,1级,19.5,13
2019-09-18,23,12,多云,西南风,2级,17.5,11
2019-09-19,16,9,阴,北风,微风,12.5,7
2019-09-20,24,11,晴,西北风,1级,17.5,13
2019-09-21,24,11,晴,东北风,1级,17.5,13
2019-09-22,25,11,阴,东北风,2级,18.0,14
2019-09-23,25,11,晴,西北风,1级,18.0,14
2019-09-24,27,11,晴,东北风,1级,19.0,16
2019-09-25,26,11,多云,东北风,2级,18.5,15
2019-09-26,26,11,多云,东南风,2级,18.5,15
2019-09-27,26,11,晴,东南风,1级,18.5,15
2019-09-28,28,12,晴,东南风,2级,20.0,16
2019-09-29,28,12,晴,东南风,3级,20.0,16
2019-09-30,29,15,晴,东南风,3级,22.0,14
2019-08-01,34,19,晴,东南风,3级,26.5,15
2019-08-02,30,19,阴,西南风,3级,24.5,11
2019-08-03,23,17,小雨,西北风,2级,20.0,6
2019-08-04,30,19,阴,东南风,1级,24.5,11
2019-08-05,34,19,多云,东北风,2级,26.5,15
2019-08-06,34,20,晴,东北风,3级,27.0,14
2019-08-07,33,21,晴,东北风,4级,27.0,12
2019-08-08,24,17,阴,西北风,1级,20.5,7
2019-08-09,34,18,晴,东南风,2级,26.0,16
2019-08-10,32,17,晴,东北风,3级,24.5,15
2019-08-11,29,16,晴,西北风,1级,22.5,13
2019-08-12,30,17,晴,西北风,2级,23.5,13
2019-08-13,26,16,阴,西南风,1级,21.0,10
2019-08-14,32,18,晴,东南风,1级,25.0,14
2019-08-15,36,18,晴,东北风,1级,27.0,18
2019-08-16,24,14,阴,西北风,1级,19.0,10
2019-08-17,30,16,晴,东北风,4级,23.0,14
2019-08-18,32,20,晴,东南风,3级,26.0,12
2019-08-19,34,16,阴,西北风,4级,25.0,18
2019-08-20,23,15,小雨,东南风,2级,19.0,8
2019-08-21,27,17,多云,西南风,2级,22.0,10
2019-08-22,23,18,阴,东南风,2级,20.5,5
2019-08-23,17,15,小雨,东北风,2级,16.0,2
2019-08-24,24,16,多云,西南风,1级,20.0,8
2019-08-25,30,19,晴,东北风,2级,24.5,11
2019-08-26,27,16,阴,东南风,2级,21.5,11
2019-08-27,23,15,小雨,西南风,1级,19.0,8
2019-08-28,30,13,晴,东北风,1级,21.5,17
2019-08-29,29,15,晴,西北风,1级,22.0,14
2019-08-30,28,14,多云,东北风,1级,21.0,14
2019-08-31,29,13,晴,东南风,2级,21.0,16
2019-07-01,33,20,晴,东北风,2级,26.5,13
2019-07-02,33,18,阴,西南风,2级,25.5,15
2019-07-03,33,21,多云,东南风,2级,27.0,12
2019-07-04,33,20,晴,东南风,2级,26.5,13
2019-07-05,29,16,扬沙,东北风,2级,22.5,13
2019-07-06,26,16,晴,东北风,3级,21.0,10
2019-07-07,30,16,多云,东北风,3级,23.0,14
2019-07-08,19,15,小雨,东南风,2级,17.0,4
2019-07-09,24,15,阴,西南风,2级,19.5,9
2019-07-10,28,18,晴,西北风,1级,23.0,10
2019-07-11,31,17,晴,东北风,2级,24.0,14
2019-07-12,33,19,阴,东北风,2级,26.0,14
2019-07-13,32,20,晴,东南风,2级,26.0,12
2019-07-14,27,20,阴,东南风,1级,23.5,7
2019-07-15,22,18,小雨,东南风,3级,20.0,4
2019-07-16,26,20,小雨,东北风,2级,23.0,6
2019-07-17,30,20,多云,东北风,2级,25.0,10
2019-07-18,31,19,阴,东北风,3级,25.0,12
2019-07-19,27,17,阴,东南风,2级,22.0,10
2019-07-20,34,21,晴,东北风,1级,27.5,13
2019-07-21,23,18,小雨,东南风,2级,20.5,5
2019-07-22,29,18,多云,东南风,1级,23.5,11
2019-07-23,32,18,晴,西南风,2级,25.0,14
2019-07-24,28,18,阴,东南风,2级,23.0,10
2019-07-25,34,21,晴,东南风,2级,27.5,13
2019-07-26,35,21,晴,西北风,3级,28.0,14
2019-07-27,31,21,晴,西南风,1级,26.0,10
2019-07-28,28,19,阴,东北风,3级,23.5,9
2019-07-29,32,18,多云,北风,微风,25.0,14
2019-07-30,34,17,多云,西南风,微风,25.5,17
2019-07-31,34,19,阴,东北风,2级,26.5,15
2019-06-01,31,16,晴,西北风,2级,23.5,15
2019-06-02,32,16,晴,东北风,2级,24.0,16
2019-06-03,32,17,多云,东南风,1级,24.5,15
2019-06-04,28,15,阴,西南风,3级,21.5,13
2019-06-05,31,17,晴,东北风,2级,24.0,14
2019-06-06,34,19,晴,东北风,2级,26.5,15
2019-06-07,24,15,阴,东北风,2级,19.5,9
2019-06-08,31,17,晴,东北风,3级,24.0,14
2019-06-09,33,19,多云,东北风,3级,26.0,14
2019-06-10,33,20,阴,东北风,2级,26.5,13
2019-06-11,33,17,阴,东北风,5级,25.0,16
2019-06-12,28,16,多云,东北风,3级,22.0,12
2019-06-13,29,21,多云,东北风,4级,25.0,8
2019-06-14,31,15,阴,西南风,4级,23.0,16
2019-06-15,21,16,小雨,东北风,2级,18.5,5
2019-06-16,29,18,阴,西南风,1级,23.5,11
2019-06-17,33,20,多云,东南风,2级,26.5,13
2019-06-18,29,20,阴,东南风,4级,24.5,9
2019-06-19,22,18,小雨,东北风,2级,20.0,4
2019-06-20,21,17,中雨,东北风,4级,19.0,4
2019-06-21,22,17,阴,西北风,3级,19.5,5
2019-06-22,22,18,阴,西北风,2级,20.0,4
2019-06-23,30,18,阴,西北风,2级,24.0,12
2019-06-24,31,20,阴,东南风,3级,25.5,11
2019-06-25,30,20,多云,西北风,1级,25.0,10
2019-06-26,20,15,大雨,东北风,3级,17.5,5
2019-06-27,23,14,小雨,西南风,2级,18.5,9
2019-06-28,29,15,多云,西南风,1级,22.0,14
2019-06-29,29,16,晴,东北风,3级,22.5,13
