日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,21,阴,东北风,1级,23.0,4
2019-09-02,30,22,多云,东北风,1级,26.0,8
2019-09-03,29,21,多云,东南风,1级,25.0,8
2019-09-04,26,22,阴,东南风,1级,24.0,4
2019-09-05,31,24,阴,东北风,1级,27.5,7
2019-09-06,32,23,阴,东北风,1级,27.5,9
2019-09-07,25,24,阴,东北风,2级,24.5,1
2019-09-08,24,23,阴,东北风,1级,23.5,1
2019-09-09,31,24,阴,东北风,2级,27.5,7
2019-09-10,30,24,阴,东北风,1级,27.0,6
2019-09-11,32,25,阴,东北风,2级,28.5,7
2019-09-12,35,24,多云,东北风,1级,29.5,11
2019-09-13,36,20,阴,东北风,2级,28.0,16
2019-09-14,22,19,阴,东北风,2级,20.5,3
2019-09-15,19,19,阴,东北风,1级,19.0,0
2019-09-16,20,19,阴,西北风,2级,19.5,1
2019-09-17,19,18,阴,东南风,2级,18.5,1
2019-09-18,19,18,小雨,东北风,1级,18.5,1
2019-09-19,19,17,阴,北风,微风,18.0,2
2019-09-20,23,15,阴,西南风,微风,19.0,8
2019-09-21,26,16,阴,东北风,1级,21.0,10
2019-09-22,29,17,晴,东北风,1级,23.0,12
2019-09-23,27,18,多云,东北风,2级,22.5,9
2019-09-24,23,18,阴,东北风,1级,20.5,5
2019-09-25,25,17,多云,东北风,1级,21.0,8
2019-09-26,28,17,多云,东北风,1级,22.5,11
2019-09-27,29,17,晴,东北风,1级,23.0,12
2019-09-28,30,17,多云,东北风,1级,23.5,13
2019-09-29,31,19,晴,东北风,2级,25.0,12
2019-09-30,31,20,多云,东北风,1级,25.5,11
2019-08-01,34,24,阴,东北风,1级,29.0,10
2019-08-02,34,24,阴,东北风,2级,29.0,10
2019-08-03,30,24,阴,东北风,2级,27.0,6
2019-08-04,34,25,阴,西南风,2级,29.5,9
2019-08-05,32,25,阴,东北风,1级,28.5,7
2019-08-06,28,23,小雨,东南风,1级,25.5,5
2019-08-07,30,24,中雨,东北风,1级,27.0,6
2019-08-08,34,25,多云,西南风,1级,29.5,9
2019-08-09,31,24,中雨,东北风,1级,27.5,7
2019-08-10,34,24,晴,西南风,1级,29.0,10
2019-08-11,36,24,晴,东北风,1级,30.0,12
2019-08-12,37,24,晴,东北风,1级,30.5,13
2019-08-13,37,25,晴,东北风,1级,31.0,12
2019-08-14,34,24,阴,西南风,1级,29.0,10
2019-08-15,35,24,阴,东南风,1级,29.5,11
2019-08-16,37,25,晴,东北风,1级,31.0,12
2019-08-17,38,25,晴,东北风,2级,31.5,13
2019-08-18,37,26,多云,东北风,2级,31.5,11
2019-08-19,37,26,多云,东北风,1级,31.5,11
2019-08-20,37,26,阴,东北风,2级,31.5,11
2019-08-21,36,26,多云,西南风,1级,31.0,10
2019-08-22,37,25,阴,东北风,2级,31.0,12
2019-08-23,37,25,多云,东北风,1级,31.0,12
2019-08-24,38,25,多云,东北风,1级,31.5,13
2019-08-25,39,26,多云,东北风,1级,32.5,13
2019-08-26,39,26,阴,东北风,1级,32.5,13
2019-08-27,36,24,多云,东北风,2级,30.0,12
2019-08-28,25,22,中雨,东南风,1级,23.5,3
2019-08-29,33,21,阴,西南风,2级,27.0,12
2019-08-30,33,21,多云,东北风,1级,27.0,12
2019-08-31,25,20,阴,西南风,2级,22.5,5
2019-07-01,33,23,晴,东北风,1级,28.0,10
2019-07-02,33,23,多云,东北风,1级,28.0,10
2019-07-03,32,22,晴,东南风,1级,27.0,10
2019-07-04,21,21,小雨,东北风,2级,21.0,0
2019-07-05,28,22,多云,东北风,1级,25.0,6
2019-07-06,29,23,阴,西南风,1级,26.0,6
2019-07-07,30,22,阵雨,东北风,1级,26.0,8
2019-07-08,24,20,小雨,东南风,1级,22.0,4
2019-07-09,30,21,多云,西南风,1级,25.5,9
2019-07-10,32,23,多云,西南风,1级,27.5,9
2019-07-11,30,22,阴,东北风,1级,26.0,8
2019-07-12,32,23,阴,西南风,2级,27.5,9
2019-07-13,32,22,多云,西南风,1级,27.0,10
2019-07-14,33,23,阴,东北风,1级,28.0,10
2019-07-15,32,23,阴,东北风,1级,27.5,9
2019-07-16,27,24,小雨,东北风,1级,25.5,3
2019-07-17,26,24,小雨,东北风,1级,25.0,2
2019-07-18,27,24,大雨,西南风,1级,25.5,3
2019-07-19,33,25,阴,东北风,2级,29.0,8
2019-07-20,34,25,阴,西南风,1级,29.5,9
2019-07-21,34,26,阴,西北风,1级,30.0,8
2019-07-22,36,25,阴,东北风,2级,30.5,11
2019-07-23,28,24,小雨,东北风,2级,26.0,4
2019-07-24,32,24,中雨,西北风,1级,28.0,8
2019-07-25,32,24,小雨,东北风,1级,28.0,8
2019-07-26,34,25,阴,东北风,1级,29.5,9
2019-07-27,37,26,多云,东北风,2级,31.5,11
2019-07-28,37,27,多云,东北风,1级,32.0,10
2019-07-29,36,26,多云,西南风,2级,31.0,10
2019-07-30,28,23,小雨,东北风,1级,25.5,5
2019-07-31,31,22,多云,西南风,1级,26.5,9
2019-06-01,30,19,阴,西南风,1级,24.5,11
2019-06-02,32,20,晴,东北风,1级,26.0,12
2019-06-03,35,22,晴,东北风,1级,28.5,13
2019-06-04,37,24,晴,东北风,1级,30.5,13
2019-06-05,28,20,阴,西南风,2级,24.0,8
2019-06-06,29,21,晴,西南风,2级,25.0,8
2019-06-07,33,22,晴,东北风,1级,27.5,11
2019-06-08,28,20,阴,东南风,1级,24.0,8
2019-06-09,26,21,阴,西北风,2级,23.5,5
2019-06-10,30,23,阴,西南风,2级,26.5,7
2019-06-11,21,19,阴,东南风,1级,20.0,2
2019-06-12,27,22,多云,西南风,1级,24.5,5
2019-06-13,30,21,多云,西南风,1级,25.5,9
2019-06-14,31,23,多云,东北风,1级,27.0,8
2019-06-15,24,20,中雨,东南风,3级,22.0,4
2019-06-16,24,21,阴,西南风,1级,22.5,3
2019-06-17,23,20,阵雨,东北风,1级,21.5,3
2019-06-18,25,23,多云,东北风,1级,24.0,2
2019-06-19,29,24,阴,东北风,1级,26.5,5
2019-06-20,28,24,小雨,东南风,1级,26.0,4
2019-06-21,29,24,阴,西南风,1级,26.5,5
2019-06-22,24,21,小雨,东南风,1级,22.5,3
2019-06-23,30,22,小雨,西南风,1级,26.0,8
2019-06-24,27,22,阴,东北风,1级,24.5,5
2019-06-25,28,24,阴,东北风,1级,26.0,4
2019-06-26,28,22,晴,北风,1级,25.0,6
2019-06-27,29,23,中雨,东北风,2级,26.0,6
2019-06-28,24,20,大雨,东南风,1级,22.0,4
2019-06-29,28,21,小雨,西南风,1级,24.5,7
2019-06-30,30,24,多云,东北风,1级,27.0,6
2019-05-01,28,18,多云,东北风,1级,23.0,10
2019-05-02,25,17,阴,东南风,1级,21.0,8
2019-05-03,23,18,阴,东北风,1级,20.5,5
2019-05-04,26,18,阴,东北风,1级,22.0,8
2019-05-05,22,17,阴,东北风,1级,19.5,5
2019-05-06,18,13,阴,东南风,1级,15.5,5
2019-05-07,15,13,阴,东北风,1级,14.0,2
2019-05-08,23,16,阴,西南风,2级,19.5,7
2019-05-09,24,17,阴,东北风,1级,20.5,7
2019-05-10,26,18,阴,东北风,微风,22.0,8
2019-05-11,29,18,晴,东北风,1级,23.5,11
2019-05-12,27,17,阴,东北风,1级,22.0,10
2019-05-13,22,18,阴,西南风,1级,20.0,4
2019-05-14,25,18,阴,西南风,1级,21.5,7
2019-05-15,28,19,阴,东北风,1级,23.5,9
2019-05-16,22,20,阴,东北风,2级,21.0,2
