日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,19,阴,东南风,2级,22.0,6
2019-09-02,21,21,阴,东北风,2级,21.0,0
2019-09-03,25,21,雷阵雨,东北风,2级,23.0,4
2019-09-04,25,21,阴,东南风,1级,23.0,4
2019-09-05,26,22,阴,东北风,2级,24.0,4
2019-09-06,30,21,阴,西北风,3级,25.5,9
2019-09-07,30,19,晴,西南风,1级,24.5,11
2019-09-08,31,21,晴,东北风,2级,26.0,10
2019-09-09,31,21,晴,东北风,微风,26.0,10
2019-09-10,32,23,晴,东北风,2级,27.5,9
2019-09-11,32,24,阴,东北风,3级,28.0,8
2019-09-12,32,24,多云,东北风,2级,28.0,8
2019-09-13,32,24,晴,东南风,2级,28.0,8
2019-09-14,31,23,多云,东北风,2级,27.0,8
2019-09-15,27,21,阴,西北风,1级,24.0,6
2019-09-16,28,20,多云,东北风,2级,24.0,8
2019-09-17,29,22,多云,东北风,2级,25.5,7
2019-09-18,29,17,多云,东北风,2级,23.0,12
2019-09-19,27,17,多云,东北风,2级,22.0,10
2019-09-20,28,18,多云,东北风,2级,23.0,10
2019-09-21,27,19,多云,东北风,3级,23.0,8
2019-09-22,28,17,多云,东北风,1级,22.5,11
2019-09-23,27,17,晴,西北风,1级,22.0,10
2019-09-24,29,19,多云,东南风,1级,24.0,10
2019-09-25,29,19,阴,西北风,1级,24.0,10
2019-09-26,25,19,阴,东南风,2级,22.0,6
2019-09-27,27,18,多云,东风,1级,22.5,9
2019-09-28,28,18,晴,东北风,1级,23.0,10
2019-09-29,29,18,晴,东南风,2级,23.5,11
2019-09-30,29,20,多云,东北风,1级,24.5,9
2019-08-01,37,28,阴,东北风,2级,32.5,9
2019-08-02,36,28,多云,东北风,2级,32.0,8
2019-08-03,35,26,晴,东南风,2级,30.5,9
2019-08-04,32,26,小雨,东南风,3级,29.0,6
2019-08-05,35,26,阴,东南风,1级,30.5,9
2019-08-06,35,26,多云,东南风,2级,30.5,9
2019-08-07,35,26,多云,东南风,3级,30.5,9
2019-08-08,35,26,阴,东南风,3级,30.5,9
2019-08-09,35,26,阴,东北风,4级,30.5,9
2019-08-10,28,26,大雨,西北风,4级,27.0,2
2019-08-11,30,24,小雨,西南风,3级,27.0,6
2019-08-12,32,25,多云,北风,2级,28.5,7
2019-08-13,34,25,多云,东北风,1级,29.5,9
2019-08-14,33,25,小雨,西北风,2级,29.0,8
2019-08-15,33,25,晴,西北风,2级,29.0,8
2019-08-16,35,25,多云,东南风,3级,30.0,10
2019-08-17,36,26,晴,东北风,2级,31.0,10
2019-08-18,32,25,阴,东北风,2级,28.5,7
2019-08-19,32,24,多云,东北风,2级,28.0,8
