日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,22,15,阴,东南风,2级,18.5,7
2019-09-02,21,15,阴,东南风,1级,18.0,6
2019-09-03,23,15,阴,东南风,2级,19.0,8
2019-09-04,26,16,多云,南风,微风,21.0,10
2019-09-05,26,16,阴,东南风,1级,21.0,10
2019-09-06,28,17,阴,东南风,2级,22.5,11
2019-09-07,27,17,阴,东南风,2级,22.0,10
2019-09-08,23,17,阴,东南风,1级,20.0,6
2019-09-09,22,17,阴,东南风,2级,19.5,5
2019-09-10,23,17,阴,东南风,1级,20.0,6
2019-09-11,25,17,阴,东南风,2级,21.0,8
2019-09-12,27,17,阴,东南风,2级,22.0,10
2019-09-13,29,17,阴,东南风,2级,23.0,12
2019-09-14,29,17,多云,东南风,2级,23.0,12
2019-09-15,29,15,多云,西北风,2级,22.0,14
2019-09-16,23,16,阴,东南风,2级,19.5,7
2019-09-17,27,14,阴,东北风,2级,20.5,13
2019-09-18,21,14,阵雨,东南风,3级,17.5,7
2019-09-19,25,14,阴,东北风,2级,19.5,11
2019-09-20,16,11,阴,西北风,2级,13.5,5
2019-09-21,20,10,阴,西北风,2级,15.0,10
2019-09-22,22,10,多云,西北风,2级,16.0,12
2019-09-23,22,10,多云,东南风,1级,16.0,12
2019-09-24,22,11,阴,西北风,1级,16.5,11
2019-09-25,16,11,阴,东北风,1级,13.5,5
2019-09-26,24,10,阴,东南风,1级,17.0,14
2019-09-27,24,11,多云,西北风,3级,17.5,13
2019-09-28,25,11,多云,东南风,1级,18.0,14
2019-09-29,26,13,多云,东南风,1级,19.5,13
2019-09-30,25,15,阴,东南风,2级,20.0,10
2019-08-01,27,17,多云,东北风,1级,22.0,10
2019-08-02,25,18,阴,东南风,1级,21.5,7
2019-08-03,24,17,小雨,西北风,1级,20.5,7
2019-08-04,23,18,小雨,东南风,1级,20.5,5
2019-08-05,24,17,阴,东南风,1级,20.5,7
2019-08-06,27,18,阴,东北风,微风,22.5,9
2019-08-07,28,16,小雨,东北风,1级,22.0,12
2019-08-08,27,17,晴,东北风,2级,22.0,10
2019-08-09,25,17,阴,北风,微风,21.0,8
2019-08-10,27,15,多云,西北风,2级,21.0,12
2019-08-11,30,16,多云,东南风,1级,23.0,14
2019-08-12,29,17,多云,东南风,2级,23.0,12
2019-08-13,30,17,阴,南风,微风,23.5,13
2019-08-14,25,16,阴,西北风,2级,20.5,9
2019-08-15,28,16,多云,东北风,1级,22.0,12
2019-08-16,30,15,晴,东南风,1级,22.5,15
2019-08-17,28,17,多云,东南风,1级,22.5,11
2019-08-18,29,18,阴,东南风,2级,23.5,11
2019-08-19,27,17,阴,东南风,2级,22.0,10
2019-08-20,27,17,阴,东南风,1级,22.0,10
2019-08-21,27,17,阴,东南风,1级,22.0,10
2019-08-22,26,16,阴,西南风,1级,21.0,10
2019-08-23,25,15,多云,东南风,3级,20.0,10
2019-08-24,28,16,晴,东南风,1级,22.0,12
2019-08-25,28,16,多云,东南风,1级,22.0,12
2019-08-26,30,17,多云,东南风,2级,23.5,13
2019-08-27,25,17,阴,东北风,1级,21.0,8
2019-08-28,24,17,小雨,北风,微风,20.5,7
2019-08-29,23,16,阴,东北风,1级,19.5,7
2019-08-30,20,14,阴,北风,1级,17.0,6
2019-08-31,18,15,阴,东北风,1级,16.5,3
2019-07-01,26,16,多云,西北风,微风,21.0,10
2019-07-02,26,17,多云,东南风,3级,21.5,9
2019-07-03,25,15,多云,东南风,2级,20.0,10
2019-07-04,24,17,阴,西北风,1级,20.5,7
2019-07-05,19,17,小雨,东北风,微风,18.0,2
2019-07-06,21,17,小雨,西北风,1级,19.0,4
2019-07-07,23,17,阵雨,东南风,1级,20.0,6
2019-07-08,21,16,小雨,东北风,2级,18.5,5
2019-07-09,21,16,阴,东北风,1级,18.5,5
2019-07-10,24,16,阴,东南风,3级,20.0,8
2019-07-11,20,17,小雨,东南风,1级,18.5,3
2019-07-12,21,16,小雨,东南风,2级,18.5,5
2019-07-13,21,15,小雨,南风,微风,18.0,6
2019-07-14,20,17,阴,北风,微风,18.5,3
2019-07-15,22,18,阴,东南风,2级,20.0,4
2019-07-16,27,19,阴,东南风,2级,23.0,8
2019-07-17,28,19,多云,东南风,1级,23.5,9
2019-07-18,26,18,阴,东南风,2级,22.0,8
2019-07-19,25,18,中雨,东南风,2级,21.5,7
2019-07-20,25,18,中雨,东北风,1级,21.5,7
2019-07-21,26,19,阴,东南风,1级,22.5,7
2019-07-22,26,18,阴,东南风,1级,22.0,8
2019-07-23,22,18,小雨,东南风,1级,20.0,4
2019-07-24,26,18,阴,东南风,1级,22.0,8
2019-07-25,24,18,小雨,东南风,2级,21.0,6
2019-07-26,27,18,阴,东南风,3级,22.5,9
2019-07-27,28,19,阴,东南风,2级,23.5,9
2019-07-28,29,19,阴,东南风,2级,24.0,10
2019-07-29,26,18,阴,东南风,2级,22.0,8
2019-07-30,26,18,阴,西北风,1级,22.0,8
2019-07-31,25,16,小雨,东北风,1级,20.5,9
2019-06-01,18,12,阴,西北风,2级,15.0,6
2019-06-02,27,13,阴,东南风,1级,20.0,14
2019-06-03,29,16,阴,东南风,2级,22.5,13
2019-06-04,28,17,阴,东南风,2级,22.5,11
2019-06-05,29,17,阴,西北风,2级,23.0,12
2019-06-06,25,16,阴,东南风,2级,20.5,9
2019-06-07,27,18,阴,东南风,2级,22.5,9
2019-06-08,26,17,阴,西北风,1级,21.5,9
2019-06-09,24,17,阴,西北风,2级,20.5,7
2019-06-10,22,17,阴,东南风,2级,19.5,5
2019-06-11,24,16,阴,东南风,1级,20.0,8
2019-06-12,22,15,阵雨,北风,微风,18.5,7
2019-06-13,29,18,晴,东南风,3级,23.5,11
2019-06-14,24,18,阴,东南风,1级,21.0,6
2019-06-15,26,17,小雨,东北风,1级,21.5,9
