日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,25,20,阴,西北风,1级,22.5,5
2019-09-02,31,20,阴,东北风,2级,25.5,11
2019-09-03,31,20,多云,北风,微风,25.5,11
2019-09-04,32,21,晴,东北风,4级,26.5,11
2019-09-05,32,21,多云,西北风,微风,26.5,11
2019-09-06,33,21,晴,东北风,2级,27.0,12
2019-09-07,33,21,晴,西南风,1级,27.0,12
2019-09-08,35,23,晴,西北风,微风,29.0,12
2019-09-09,36,23,晴,南风,微风,29.5,13
2019-09-10,35,25,多云,东北风,4级,30.0,10
2019-09-11,36,25,多云,北风,微风,30.5,11
2019-09-12,37,26,晴,北风,微风,31.5,11
2019-09-13,37,25,晴,东北风,4级,31.0,12
2019-09-14,32,23,多云,西北风,2级,27.5,9
2019-09-15,30,21,多云,东北风,3级,25.5,9
2019-09-16,25,20,阴,东北风,2级,22.5,5
2019-09-17,25,20,多云,东北风,3级,22.5,5
2019-09-18,23,19,小雨,西北风,2级,21.0,4
2019-09-19,28,18,多云,西北风,2级,23.0,10
2019-09-20,28,17,阴,东北风,1级,22.5,11
2019-09-21,29,16,晴,东北风,3级,22.5,13
2019-09-22,30,16,晴,西北风,1级,23.0,14
2019-09-23,31,16,晴,西北风,1级,23.5,15
2019-09-24,31,18,多云,西南风,1级,24.5,13
2019-09-25,31,18,阴,北风,微风,24.5,13
2019-09-26,31,15,阴,西北风,1级,23.0,16
2019-09-27,32,15,晴,东南风,微风,23.5,17
2019-09-28,32,16,晴,北风,微风,24.0,16
2019-09-29,33,17,晴,北风,微风,25.0,16
2019-09-30,34,17,晴,南风,微风,25.5,17
2019-08-01,37,27,晴,东南风,3级,32.0,10
2019-08-02,36,26,小雨,东北风,2级,31.0,10
2019-08-03,36,26,阴,东南风,3级,31.0,10
2019-08-04,36,26,多云,西北风,2级,31.0,10
2019-08-05,35,27,小雨,北风,微风,31.0,8
2019-08-06,35,27,多云,西北风,2级,31.0,8
2019-08-07,36,27,多云,东北风,2级,31.5,9
2019-08-08,36,27,多云,东北风,3级,31.5,9
2019-08-09,36,27,阴,西北风,1级,31.5,9
2019-08-10,36,25,多云,西北风,2级,30.5,11
2019-08-11,33,25,多云,北风,微风,29.0,8
2019-08-12,34,25,晴,北风,微风,29.5,9
2019-08-13,36,26,多云,西北风,1级,31.0,10
2019-08-14,36,26,多云,西南风,1级,31.0,10
2019-08-15,36,25,多云,西北风,1级,30.5,11
2019-08-16,36,25,晴,西北风,微风,30.5,11
2019-08-17,38,27,晴,东北风,3级,32.5,11
2019-08-18,38,26,晴,东南风,4级,32.0,12
2019-08-19,38,26,晴,东南风,微风,32.0,12
2019-08-20,38,26,多云,西南风,1级,32.0,12
2019-08-21,38,26,晴,东北风,3级,32.0,12
2019-08-22,34,26,多云,东北风,3级,30.0,8
2019-08-23,34,26,多云,西北风,微风,30.0,8
2019-08-24,36,26,多云,北风,微风,31.0,10
2019-08-25,37,27,多云,东北风,5级,32.0,10
2019-08-26,36,26,多云,东北风,3级,31.0,10
2019-08-27,34,25,阴,西北风,3级,29.5,9
2019-08-28,31,24,小雨,西北风,1级,27.5,7
2019-08-29,35,22,多云,东南风,1级,28.5,13
2019-08-30,34,20,多云,东北风,3级,27.0,14
2019-08-31,29,21,阴,西北风,2级,25.0,8
2019-07-01,33,22,多云,西北风,1级,27.5,11
2019-07-02,34,23,多云,北风,微风,28.5,11
2019-07-03,33,25,多云,东北风,1级,29.0,8
2019-07-04,29,24,阴,西北风,1级,26.5,5
2019-07-05,30,24,多云,西南风,1级,27.0,6
2019-07-06,33,24,多云,西南风,1级,28.5,9
2019-07-07,33,24,多云,东南风,3级,28.5,9
2019-07-08,29,22,阴,东南风,1级,25.5,7
2019-07-09,28,21,小雨,东北风,1级,24.5,7
2019-07-10,31,22,多云,东南风,微风,26.5,9
2019-07-11,31,24,多云,西北风,微风,27.5,7
2019-07-12,26,21,中雨,东北风,1级,23.5,5
2019-07-13,29,21,阴,西南风,2级,25.0,8
2019-07-14,31,22,多云,南风,微风,26.5,9
2019-07-15,33,24,多云,东南风,2级,28.5,9
2019-07-16,33,25,多云,东北风,1级,29.0,8
2019-07-17,33,26,中雨,东北风,2级,29.5,7
2019-07-18,32,25,阴,东北风,3级,28.5,7
2019-07-19,33,25,多云,北风,1级,29.0,8
2019-07-20,35,25,多云,西北风,1级,30.0,10
2019-07-21,35,27,阴,西北风,1级,31.0,8
2019-07-22,36,27,阴,东南风,1级,31.5,9
2019-07-23,35,28,阴,东南风,3级,31.5,7
2019-07-24,34,27,多云,西南风,1级,30.5,7
2019-07-25,35,29,多云,西南风,2级,32.0,6
2019-07-26,36,29,晴,西南风,2级,32.5,7
2019-07-27,36,30,多云,西南风,2级,33.0,6
2019-07-28,37,29,晴,南风,微风,33.0,8
2019-07-29,36,29,多云,西南风,1级,32.5,7
2019-07-30,36,29,多云,西北风,4级,32.5,7
2019-07-31,36,27,多云,西南风,1级,31.5,9
2019-06-01,28,20,阴,西南风,2级,24.0,8
2019-06-02,30,19,多云,西南风,微风,24.5,11
2019-06-03,32,21,晴,东南风,2级,26.5,11
2019-06-04,35,24,晴,东南风,1级,29.5,11
2019-06-05,34,23,阴,东南风,2级,28.5,11
2019-06-06,28,21,多云,东北风,2级,24.5,7
2019-06-07,31,22,晴,南风,微风,26.5,9
2019-06-08,31,24,多云,西北风,1级,27.5,7
2019-06-09,32,24,阴,南风,微风,28.0,8
2019-06-10,33,23,多云,东北风,2级,28.0,10
2019-06-11,32,22,多云,西北风,1级,27.0,10
2019-06-12,29,20,小雨,西北风,1级,24.5,9
2019-06-13,29,18,多云,西南风,2级,23.5,11
2019-06-14,31,20,多云,东南风,1级,25.5,11
2019-06-15,32,22,多云,南风,微风,27.0,10
2019-06-16,28,21,阴,东南风,2级,24.5,7
2019-06-17,23,21,大雨,东南风,1级,22.0,2
2019-06-18,28,22,小雨,西南风,2级,25.0,6
2019-06-19,27,24,阴,东南风,2级,25.5,3
2019-06-20,34,25,阴,东北风,3级,29.5,9
2019-06-21,24,21,大雨,东北风,2级,22.5,3
2019-06-22,26,20,阴,东南风,2级,23.0,6
2019-06-23,31,19,多云,东北风,1级,25.0,12
2019-06-24,31,21,阴,东北风,1级,26.0,10
2019-06-25,32,21,阴,西南风,1级,26.5,11
2019-06-26,32,23,多云,西北风,微风,27.5,9
2019-06-27,33,26,多云,西南风,1级,29.5,7
2019-06-28,34,23,阴,西北风,3级,28.5,11
2019-06-29,27,21,小雨,西北风,1级,24.0,6
2019-06-30,31,23,多云,北风,微风,27.0,8
2019-05-01,26,13,多云,东北风,3级,19.5,13
2019-05-02,25,13,多云,西北风,微风,19.0,12
2019-05-03,27,16,晴,西北风,微风,21.5,11
2019-05-04,28,18,多云,南风,微风,23.0,10
2019-05-05,25,18,阴,西南风,1级,21.5,7
2019-05-06,20,15,阴,东北风,5级,17.5,5
2019-05-07,18,11,阴,西南风,1级,14.5,7
2019-05-08,23,13,多云,西北风,1级,18.0,10
2019-05-09,25,13,多云,西南风,1级,19.0,12
2019-05-10,27,15,多云,南风,微风,21.0,12
2019-05-11,30,17,多云,北风,微风,23.5,13
2019-05-12,29,19,阴,西北风,1级,24.0,10
